"Carimbo de data/hora","Pesquisadora","Idade ","Sexo ","Escolaridade","Bairro","1) Como vc avalia a administração do Prefeito Geninho:","2) Como vc avalia o Prefeito Geninho:","3) Quais as áreas de serviços prestados pela Administração do Prefeito Geninho que considera boas (escolher 2 das áreas que lidam diretamente com a população):","4) Quais as áreas de serviços prestados pela Administração do Prefeito Geninho que devem melhorar (escolher 3 das áreas que lidam diretamente com a população):","5) Voce votaria no candidato a Governador indicado pelo Prefeito Geninho:","6) Voce votaria no candidato a Deputado Estadual indicado pelo Prefeito Geninho:","7) Nas eleições de 2026, se forem esses os candidatos a Governador, em quem vc votaria?","8) Nas eleições de 2026, em quem vc vai votar para Presidente do Brasil:","9) Nas eleições de 2026, se forem esses os candidatos a Senador, em quem vc votaria?"
"2026/05/26 2:09:29 PM GMT-3","Elvira","45 a 59 anos","Masculino","1- Fundamental Incompleto","Campo Acima","Regular","Ótimo Prefeito","Saúde;Limpeza Pública","Educação;Assistência Social;Agricultura","Sim","Sim","Ricardo Ferraço (Governador - MDB)","Nenhum Deles","Renato Casagrande"
"2026/05/26 7:28:16 PM GMT-3","Elvira","25 a 34 anos","Feminino","1- Fundamental Incompleto","Santo Amaro","Boa","Ótimo Prefeito","Educação;Segurança","Saúde;Assistência Social;Agricultura","Sim","Sim","NS/NR","NS/NR","Renato Casagrande"
"2026/05/26 7:29:04 PM GMT-3","Elvira","45 a 59 anos","Feminino","4- Ensino Medio Completo","Santo Amaro","Boa","Bom Prefeito","Saúde;Segurança","Assistência Social;Agricultura;Limpeza Pública","Depende do Candidato","Depende do Candidato","NS/NR","Lula","Renato Casagrande"
"2026/05/26 7:30:31 PM GMT-3","Elvira","45 a 59 anos","Masculino","1- Fundamental Incompleto","Santo Amaro","Ruim","Bom Prefeito","","Saúde;Educação;Segurança","Não","Não","Pazolini (ex-prefeito de Vitória - Republicanos)","Lula","Contarato"
"2026/05/26 7:32:37 PM GMT-3","Elvira","16 a 24 anos","Masculino","1- Fundamental Incompleto","Santo Amaro","Boa","Bom Prefeito","Limpeza Pública;Segurança","Saúde;Educação;Assistência Social","Sim","Sim","Ricardo Ferraço (Governador - MDB)","Lula","Contarato"
"2026/05/26 7:33:32 PM GMT-3","Elvira","60 ou mais anos","Masculino","1- Fundamental Incompleto","Santo Amaro","Regular","Regular","","Saúde;Educação;Segurança","Depende do Candidato","Depende do Candidato","Ricardo Ferraço (Governador - MDB)","Lula","Renato Casagrande"
"2026/05/26 7:34:46 PM GMT-3","Elvira","35 a 44 anos","Feminino","4- Ensino Medio Completo","Vargem Grande","Boa","Regular","Educação;Limpeza Pública","Saúde;Assistência Social;Segurança","Depende do Candidato","Depende do Candidato","NS/NR","Nenhum Deles","Serginho Meneguelli"
"2026/05/26 7:35:47 PM GMT-3","Elvira","25 a 34 anos","Feminino","4- Ensino Medio Completo","Vargem Grande","Boa","Bom Prefeito","Saúde;Pesca;Segurança","Saúde;Assistência Social;Limpeza Pública","Sim","Sim","Ricardo Ferraço (Governador - MDB)","Lula","Contarato"
"2026/05/26 7:36:40 PM GMT-3","Elvira","45 a 59 anos","Feminino","7- Pos-graduacao +","Campo Acima","Boa","Ótimo Prefeito","Saúde;Limpeza Pública","Educação;Assistência Social;Segurança","Sim","Sim","Ricardo Ferraço (Governador - MDB)","NS/NR","Rose de Freitas"
"2026/05/26 7:37:31 PM GMT-3","Elvira","60 ou mais anos","Masculino","1- Fundamental Incompleto","Campo Acima","Boa","Regular","Assistência Social;Limpeza Pública","Saúde;Educação;Segurança","Depende do Candidato","Depende do Candidato","Ricardo Ferraço (Governador - MDB)","Lula","Renato Casagrande"
